Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
362,Monte Morris,PG,28,DET,2,0,9.5,1.5,4,0.375,0.5,1.5,0.333,1,2.5,0.4,0.438,0.5,1,0.5,0,2,2,1.5,0,0.5,0.5,0.5,4,morrimo01
363,Trey Murphy III,SF,23,NOP,21,3,25.7,4.2,9.9,0.428,2.5,7,0.363,1.7,3,0.581,0.555,1.9,2.4,0.78,0.4,3.4,3.8,2,0.7,0.3,0.5,1.2,12.9,murphtr02
364,Dejounte Murray,SG,27,ATL,45,45,34.8,8.2,17.5,0.469,2.4,6.2,0.388,5.8,11.4,0.513,0.537,2.6,3.1,0.83,0.7,4.3,5,5.1,1.3,0.3,2.2,1.7,21.4,murrade01
365,Jamal Murray,PG,26,DEN,33,33,31.4,7.8,16.5,0.475,2.4,5.8,0.415,5.4,10.7,0.509,0.549,2.8,3.3,0.853,0.6,3.3,3.9,6.5,0.8,0.6,2,2,20.9,murraja01
366,Keegan Murray,SF,23,SAC,40,40,33.1,6.1,13.1,0.465,2.4,6.6,0.363,3.7,6.5,0.567,0.555,1.5,1.9,0.787,1.4,4.2,5.5,1.6,1.2,0.6,0.8,2.6,16,murrake02
367,Kris Murray,SF,23,POR,27,0,12.5,1.3,3.6,0.371,0.6,1.9,0.294,0.8,1.7,0.457,0.448,0.3,0.4,0.667,0.7,1.2,1.9,0.6,0.8,0.1,0.5,0.8,3.5,murrakr01
368,Mike Muscala,C,32,TOT,29,2,14.1,1.4,3.7,0.37,0.7,2.3,0.303,0.7,1.4,0.476,0.463,0.6,0.8,0.727,0.9,2.1,3.1,1,0.2,0.4,0.6,1.3,4,muscami01
369,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,0.367,0.6,2.1,0.275,0.8,1.6,0.487,0.444,0.6,0.8,0.75,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4,muscami01
370,Mike Muscala,C,32,DET,5,0,14,1.4,3.6,0.389,1.2,3,0.4,0.2,0.6,0.333,0.556,0.2,0.4,0.5,1,1.8,2.8,1.2,0.2,0.8,0.2,1.6,4.2,muscami01
371,Svi Mykhailiuk,SF,26,BOS,21,0,7.7,0.9,2.8,0.328,0.7,2.2,0.298,0.2,0.5,0.455,0.448,0.1,0.3,0.5,0.2,0.6,0.9,0.3,0.3,0,0.3,0.5,2.6,mykhasv01
372,Larry Nance Jr.,C,31,NOP,29,0,17.8,2.3,3.9,0.588,0.6,1.2,0.486,1.7,2.7,0.633,0.662,0.8,1,0.8,1.3,3.9,5.2,1.3,1,0.4,0.8,1.2,6,nancela02
373,Pete Nance,PF,23,CLE,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nancepe01
374,Andrew Nembhard,PG,24,IND,32,14,21.4,3.8,7.7,0.5,0.7,2.1,0.333,3.2,5.6,0.561,0.545,0.7,0.8,0.778,0.6,1.1,1.7,4.5,0.9,0.1,2,2,9,nembhan01
375,Aaron Nesmith,SF,24,IND,41,16,26,4.3,8.4,0.514,2.1,4.6,0.463,2.2,3.9,0.576,0.64,1.2,1.7,0.71,0.9,2.7,3.6,1.2,1,0.7,0.9,3.2,12,nesmiaa01
376,Georges Niang,PF,30,CLE,43,1,22.3,3.5,7.9,0.442,1.8,4.9,0.368,1.7,3,0.567,0.558,0.7,0.8,0.853,0.3,3.5,3.8,1.2,0.3,0.2,0.8,2.4,9.5,niangge01
377,Daishen Nix,PG,21,MIN,6,0,3.5,0.5,1.3,0.375,0.3,0.8,0.4,0.2,0.5,0.333,0.5,0,0.3,0,0,0.2,0.2,0,0.2,0,0,0,1.3,nixda01
378,Zeke Nnaji,PF,23,DEN,36,0,9.4,1.1,2.4,0.466,0.1,0.4,0.313,1,2,0.5,0.494,0.7,1.1,0.641,1.1,1,2.1,0.5,0.3,0.6,0.6,1.5,3.1,nnajize01
379,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,0.4,0.4,2.6,0.174,2,3.6,0.563,0.436,0.3,0.3,1,0.3,1.2,1.6,1.8,0.3,0,0.6,1.4,5.7,nowelja01
380,Markquis Nowell,SG,24,TOR,1,0,4,0,1,0,0,0,0,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,2,nowelma01
381,Frank Ntilikina,PG,25,CHO,3,0,7.3,0.3,1.3,0.25,0.3,1.3,0.25,0,0,0,0.375,0.7,0.7,1,0,0.3,0.3,0.3,0,0,0.3,0.3,1.7,ntilila01
382,Jusuf Nurkić,C,29,PHO,43,43,27.4,4.4,8.9,0.495,0.5,1.8,0.269,3.9,7.1,0.553,0.522,2.3,3.2,0.717,2.6,7.7,10.3,3.6,1,1,2,3.3,11.6,nurkiju01
383,Jordan Nwora,SF,25,TOT,20,0,9.8,1.9,4.3,0.442,0.6,2,0.3,1.3,2.3,0.565,0.512,0.5,0.6,0.818,0.5,1.3,1.7,1,0.3,0.1,0.7,1,4.9,nworajo01
384,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,0.451,0.6,2,0.306,1.4,2.6,0.565,0.518,0.5,0.6,0.818,0.4,1.4,1.8,1,0.3,0.1,0.7,1.1,5.2,nworajo01
385,Jordan Nwora,SF,25,TOR,2,0,6,0.5,2,0.25,0.5,2,0.25,0,0,0,0.375,0,0,0,0.5,0,0.5,0.5,0,0,1,0.5,1.5,nworajo01
386,Royce O'Neale,SF,30,BRK,44,6,24.5,2.4,6.4,0.379,1.9,5.2,0.358,0.6,1.2,0.472,0.525,0.3,0.5,0.65,0.8,3.8,4.6,2.9,0.7,0.6,1.1,2.4,7,onealro01
387,Chuma Okeke,SF,25,ORL,27,8,13.2,1.3,3.4,0.387,0.8,2.6,0.319,0.5,0.9,0.583,0.505,0.1,0.2,0.4,0.7,2,2.6,0.6,0.3,0.3,0.4,0.6,3.6,okekech01
388,Josh Okogie,SG,25,PHO,39,11,18.4,1.5,3.9,0.388,0.4,1.8,0.239,1.1,2.1,0.519,0.444,1.6,2.1,0.735,1.3,1.5,2.8,1.3,0.9,0.5,0.6,1.5,5,okogijo01
389,Onyeka Okongwu,C,23,ATL,44,3,24.8,3.6,6.1,0.584,0.3,1.1,0.286,3.3,5,0.65,0.61,1.7,2.1,0.809,2.5,4.2,6.8,1.4,0.4,1,0.9,3,9.2,okongon01
390,Isaac Okoro,SF,23,CLE,34,23,26.2,3.1,6.4,0.486,0.9,2.5,0.357,2.2,3.9,0.567,0.555,1.5,2.2,0.658,1.3,2,3.3,1.9,0.8,0.4,0.8,2.2,8.6,okorois01
391,Kelly Olynyk,C,32,UTA,45,8,20.6,3,5.3,0.565,0.8,1.8,0.43,2.2,3.6,0.631,0.636,1.4,1.7,0.842,1.3,3.8,5.1,4.4,0.8,0.3,1.7,2.8,8.2,olynyke01
392,Eugene Omoruyi,SF,26,WAS,19,0,5.8,1.7,2.9,0.582,0.3,0.9,0.294,1.4,2,0.711,0.627,0.8,1.1,0.762,0.6,0.9,1.5,0.6,0.5,0.1,0.5,1.1,4.5,omorueu01
393,Cedi Osman,SF,28,SAS,46,1,17.7,2.7,5.6,0.48,1.1,3.1,0.362,1.6,2.5,0.626,0.58,0.7,1,0.674,0.4,2.2,2.6,1.8,0.5,0.2,0.6,1.5,7.1,osmande01
394,Kelly Oubre Jr.,SF,28,PHI,32,21,27.4,4.8,10.2,0.469,1.6,4.4,0.355,3.2,5.8,0.557,0.546,1.7,2.4,0.714,0.9,3.2,4.2,1.1,1.2,0.5,0.9,2.8,12.8,oubreke01
395,Chris Paul,PG,38,GSW,32,11,27.6,3.3,7.7,0.424,1.3,3.7,0.361,1.9,3.9,0.484,0.512,1.1,1.3,0.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9,paulch01
396,Cameron Payne,PG,29,MIL,42,2,15.2,2.3,4.8,0.47,1.2,2.9,0.408,1.1,2,0.561,0.592,0.8,1,0.875,0.1,1.1,1.2,2.3,0.4,0.1,0.7,1.6,6.5,payneca01
397,Gary Payton II,SG,31,GSW,16,0,16.3,2.3,4.9,0.456,0.6,2,0.281,1.7,2.9,0.574,0.513,0.4,0.6,0.667,1,2,3,0.8,1.1,0.3,0.6,1.8,5.4,paytoga02
398,Drew Peterson,PF,24,BOS,1,0,3,1,1,1,1,1,1,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,1,3,peterdr01
399,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1,petrufi01
400,Filip Petrušev,C,23,PHI,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,petrufi01
401,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5,1.5,petrufi01
402,Julian Phillips,SF,20,CHI,22,0,4.5,0.4,1.1,0.333,0,0.5,0.083,0.3,0.5,0.583,0.354,0,0.2,0.25,0.1,0.4,0.5,0.3,0,0.1,0.1,0.5,0.8,phillju01
403,Jalen Pickett,SG,24,DEN,16,0,6.1,0.8,1.8,0.429,0.4,1.3,0.35,0.3,0.5,0.625,0.554,0.1,0.1,1,0.1,0.6,0.7,0.8,0.2,0,0.4,0.5,2.1,pickeja02
404,Scotty Pippen Jr.,PG,23,MEM,2,0,14.5,3,4.5,0.667,0.5,0.5,1,2.5,4,0.625,0.722,2.5,2.5,1,0.5,3,3.5,3.5,0,0,1.5,0.5,9,pippesc02
405,Mason Plumlee,C,33,LAC,14,5,17,2.4,3.6,0.667,0,0,0,2.4,3.6,0.667,0.667,1.4,2.4,0.588,1.3,4,5.3,1.2,0.4,0.4,0.5,1.3,6.3,plumlma01
406,Brandin Podziemski,SG,20,GSW,37,10,24.6,3.6,7.9,0.462,1.3,3.3,0.388,2.4,4.6,0.515,0.543,0.6,1,0.622,1.5,3.9,5.4,3.2,0.9,0.1,1.2,1.9,9.2,podzibr01
407,Jakob Poeltl,C,28,TOR,36,36,26.5,4.7,6.9,0.685,0,0,0,4.7,6.9,0.685,0.685,1.2,2.2,0.532,2.8,5.6,8.3,2.5,0.7,1.4,1.6,2.9,10.6,poeltja01
408,Aleksej Pokusevski,PF,22,OKC,8,0,6,0.4,1.6,0.231,0.1,1.1,0.111,0.3,0.5,0.5,0.269,0.1,0.3,0.5,0.3,0.9,1.1,0.6,0,0.1,0.4,0.6,1,pokusal01
409,Jordan Poole,SG,24,WAS,44,44,29.1,5.9,14.3,0.413,2,6.3,0.314,3.9,8,0.49,0.482,2.8,3.2,0.871,0.4,1.8,2.2,3.4,1,0.3,2.2,3.1,16.5,poolejo01
410,Craig Porter Jr.,PG,23,CLE,29,5,15.9,2.9,5.7,0.512,0.2,0.7,0.333,2.7,4.9,0.538,0.534,1.1,1.6,0.696,0.5,2.2,2.7,3.1,0.6,0.4,1.1,1,7.1,portecr01
411,Jontay Porter,PF,24,TOR,12,5,14.7,1.6,4.6,0.345,0.7,2.4,0.276,0.9,2.2,0.423,0.418,0.7,0.7,1,1,2.3,3.3,2.1,0.7,0.9,0.7,1.8,4.5,portejo01
412,Michael Porter Jr.,SF,25,DEN,47,47,31.2,6.1,12.8,0.479,2.7,6.8,0.399,3.4,6,0.571,0.586,1,1.3,0.77,1.3,5.7,7,1.4,0.5,0.7,1.1,2,16,portemi01
413,Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.9,2.2,0.424,0.5,1.5,0.348,0.4,0.7,0.6,0.545,0.2,0.2,1,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6,porteot01
414,Bobby Portis,PF,28,MIL,46,0,23.3,5,9.9,0.507,1.1,2.9,0.379,3.9,7,0.559,0.561,1.3,1.7,0.776,1.5,5.2,6.7,1,0.7,0.4,0.9,2.5,12.4,portibo01
415,Kristaps Porziņģis,C,28,BOS,33,33,29.7,6.5,12.2,0.529,1.8,5.1,0.359,4.6,7.2,0.648,0.603,4.8,5.7,0.84,1.6,5.1,6.7,2,0.7,1.8,1.6,2.9,19.5,porzikr01
416,Micah Potter,PF,25,UTA,2,0,3.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,pottemi01
417,Dwight Powell,C,32,DAL,39,8,16,1.6,2.2,0.709,0,0.1,0.5,1.5,2.2,0.714,0.715,1.4,1.9,0.753,1.8,2.1,3.9,1.7,0.6,0.4,0.5,2.2,4.6,poweldw01
418,Norman Powell,SG,30,LAC,44,0,25.3,4.7,9.5,0.495,2,4.5,0.442,2.7,4.9,0.544,0.601,2,2.3,0.87,0.1,2.4,2.5,1,0.6,0.4,0.9,1.8,13.3,powelno01
419,Joshua Primo,SG,21,LAC,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,0,0,0,0,0,0,1,3,0,2,primojo01
420,Taurean Prince,PF,29,LAL,44,44,30.5,3.5,8.1,0.427,2.1,5.4,0.389,1.3,2.7,0.504,0.558,0.7,0.9,0.744,0.3,2.6,2.9,1.8,0.9,0.5,0.9,2.3,9.7,princta02
421,Payton Pritchard,PG,26,BOS,46,0,21.2,2.8,6.7,0.425,1.7,4.5,0.38,1.2,2.2,0.515,0.552,0.6,0.7,0.794,1,2.3,3.3,3,0.4,0.1,0.6,1.2,8,pritcpa01
422,Olivier-Maxence Prosper,PF,21,DAL,24,0,9.1,0.9,2.6,0.349,0.3,1.3,0.258,0.6,1.3,0.438,0.413,0.8,1.1,0.704,0.6,1.5,2.2,0.8,0.1,0.1,0.2,0.7,3,prospol01
423,Trevelin Queen,SG,26,ORL,11,0,13.9,1.3,3.2,0.4,0.3,1.4,0.2,1,1.8,0.55,0.443,0.8,1.1,0.75,0.3,1.4,1.6,1.6,0.6,0.5,0.6,1.3,3.6,queentr01
424,Neemias Queta,C,24,BOS,18,0,12.4,1.9,3.2,0.586,0,0,0,1.9,3.2,0.586,0.586,0.8,1,0.778,1.9,2.6,4.4,0.4,0.4,0.6,0.3,2.1,4.6,quetane01
425,Immanuel Quickley,SG-PG,24,TOT,42,12,26.2,5.2,11.9,0.44,2.3,5.6,0.41,2.9,6.3,0.466,0.536,2.8,3.2,0.866,0.2,2.9,3.1,3.5,0.6,0.1,1.1,1.6,15.5,quickim01
426,Immanuel Quickley,SG,24,NYK,30,0,24,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1,1.5,15,quickim01
427,Immanuel Quickley,PG,24,TOR,12,12,31.8,5.6,13.6,0.411,2.7,6,0.444,2.9,7.6,0.385,0.509,2.8,3.3,0.85,0.3,4.3,4.6,6.1,0.8,0.2,1.4,2,16.7,quickim01
428,Lester Quinones,SG,23,GSW,9,0,6.3,1,2.6,0.391,0.6,1.4,0.385,0.4,1.1,0.4,0.5,0.1,0.2,0.5,0.4,0.9,1.3,0.6,0.1,0.1,0.6,0.7,2.7,quinole01
429,Julius Randle,PF,29,NYK,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,randlju01
430,Duop Reath,C,27,POR,33,11,18.1,3.5,7.2,0.477,1.4,3.7,0.372,2.1,3.6,0.585,0.571,1.1,1.4,0.783,1.5,2.6,4,1.2,0.5,0.5,0.8,2.4,9.4,reathdu01
431,Austin Reaves,SG,25,LAL,47,22,30.6,5.2,10.8,0.486,1.6,4.5,0.343,3.7,6.2,0.59,0.558,3,3.5,0.877,0.8,3.3,4.1,5.2,0.9,0.1,2.1,1.9,15.1,reaveau01
432,Cam Reddish,SF,24,LAL,35,26,23.3,2.4,5.9,0.405,0.9,2.7,0.337,1.5,3.1,0.464,0.483,1,1.3,0.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7,reddica01
433,Paul Reed,C,24,PHI,44,9,16,2.7,4.8,0.561,0.2,0.6,0.36,2.5,4.3,0.588,0.583,0.6,0.8,0.722,1.9,3,4.9,1.1,0.7,0.7,0.8,2.3,6.2,reedpa01
434,Naz Reid,C,24,MIN,46,0,22.4,4.7,9.5,0.493,1.9,4.7,0.408,2.8,4.8,0.577,0.595,1.1,1.4,0.785,1,3.5,4.5,1,0.7,0.7,1.3,2,12.4,reidna01
435,Jared Rhoden,SG,24,DET,5,0,6,1,1.8,0.556,0.2,0.8,0.25,0.8,1,0.8,0.611,0.4,0.4,1,0.2,0.6,0.8,0.6,0,0,0.4,0.8,2.6,rhodeja01
436,Nick Richards,C,26,CHO,35,22,24.8,3.8,5.5,0.684,0,0,0,3.8,5.5,0.684,0.684,2.1,2.8,0.758,2.6,5.2,7.8,0.8,0.3,1.4,0.9,2.7,9.7,richani01
437,Josh Richardson,SG,30,MIA,36,5,25.9,3.4,8,0.432,1.4,4.3,0.333,2,3.7,0.545,0.521,1.3,1.3,0.938,0.4,2.3,2.7,2.5,0.6,0.4,0.9,1.8,9.6,richajo01
438,Duncan Robinson,SF,29,MIA,44,17,28.1,4.7,10.3,0.453,2.8,7,0.405,1.9,3.4,0.55,0.589,1.3,1.5,0.879,0.3,2.3,2.5,2.9,0.6,0.2,1.4,2.3,13.5,robindu01
439,Jerome Robinson,SG,26,GSW,7,0,3.7,0,1.3,0,0,0.7,0,0,0.6,0,0,0.6,0.9,0.667,0.1,0.3,0.4,0.3,0,0.1,0,0.1,0.6,robinje01
440,Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,0.592,0,0,0,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2,robinmi01
441,Orlando Robinson,C,23,MIA,20,7,11.5,1.6,3,0.517,0.4,0.6,0.583,1.2,2.4,0.5,0.575,0.7,1,0.7,1,2.2,3.1,1.4,0.3,0.4,0.7,1.5,4.2,robinor01
442,Jeremiah Robinson-Earl,PF,23,NOP,19,1,10.8,1.6,3,0.526,0.4,1.1,0.381,1.2,1.9,0.611,0.596,0.5,0.6,0.909,0.7,1.8,2.5,0.5,0.4,0.2,0.5,0.7,4.1,robinje02
443,David Roddy,PF,22,MEM,42,10,22.5,3,7.5,0.406,1,3.1,0.315,2.1,4.4,0.47,0.471,0.9,1.2,0.706,1.1,2.9,4,1.5,0.5,0.2,1,1.4,7.9,roddyda01
444,Ryan Rollins,PG,21,WAS,10,0,6.6,1.3,2.5,0.52,0.2,0.3,0.667,1.1,2.2,0.5,0.56,1.3,1.7,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1,rolliry01
445,Derrick Rose,PG,35,MEM,17,7,17.9,3.3,7.5,0.438,0.6,1.9,0.333,2.6,5.6,0.474,0.48,1.1,1.2,0.905,0.4,1.4,1.8,3.4,0.4,0.1,1.3,1.1,8.4,rosede01
446,Terry Rozier,SG-PG,29,TOT,33,32,35,7.9,17.6,0.45,2.6,7.4,0.35,5.4,10.3,0.522,0.523,3.4,4,0.85,0.6,3.3,3.9,6.5,1.1,0.4,2.1,1.7,21.9,roziete01
447,Terry Rozier,SG,29,CHO,30,30,35.5,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2,roziete01
448,Terry Rozier,PG,29,MIA,3,2,30,3.3,11,0.303,0.7,3.7,0.182,2.7,7.3,0.364,0.333,1.3,1.3,1,0.7,3,3.7,5,1,0,1.7,1.7,8.7,roziete01
449,Rayan Rupert,SG,19,POR,15,0,7.6,1,2.7,0.366,0.5,1.1,0.412,0.5,1.6,0.333,0.451,0.3,0.5,0.625,0.4,0.9,1.3,0.7,0.1,0,0.4,0.5,2.8,ruperra01
450,D'Angelo Russell,PG,27,LAL,43,36,30.5,6.4,13.3,0.48,2.6,6,0.429,3.8,7.3,0.522,0.577,1.8,2.3,0.794,0.4,2.3,2.7,6.1,0.8,0.6,2,2.1,17.1,russeda01
451,Matt Ryan,SF,26,NOP,13,1,22.9,2.9,6.4,0.458,2.5,5.2,0.471,0.5,1.2,0.4,0.651,1,1.1,0.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3,ryanma01
452,Domantas Sabonis,C,27,SAC,44,44,35.3,8,13,0.614,0.5,1.1,0.44,7.5,11.9,0.63,0.633,3.4,5,0.68,3.2,9.5,12.7,8,0.8,0.5,3.3,3.3,19.9,sabondo01
453,Luka Šamanić,PF,24,UTA,21,0,6,1,2.7,0.375,0.2,1,0.238,0.8,1.7,0.457,0.42,0.5,0.6,0.846,0.3,1.5,1.8,0.2,0,0.1,0.4,0.6,2.8,samanlu01
454,Jermaine Samuels,SF,25,HOU,7,0,6.3,0.7,1.1,0.625,0,0.3,0,0.7,0.9,0.833,0.625,0.3,0.3,1,0.3,1.1,1.4,0.3,0.1,0.1,0,0.4,1.7,samueje01
455,Adama Sanogo,PF,21,CHI,3,0,3.7,1,1,1,0,0,0,1,1,1,1,0.7,1,0.667,0.7,1.3,2,0,0,0,0.3,0,2.7,sanogad01
456,Gui Santos,PF,21,GSW,6,0,5.8,0.7,1.8,0.364,0.2,1,0.167,0.5,0.8,0.6,0.409,1,1,1,0.8,1.2,2,0.3,0,0,0.3,0.5,2.5,santogu01
457,Dario Šarić,C,29,GSW,43,9,20.6,3.6,7.5,0.484,1.6,3.8,0.415,2,3.7,0.557,0.59,1.6,1.9,0.85,1.4,4.1,5.5,2.5,0.6,0.2,1.3,2.2,10.4,saricda01
458,Olivier Sarr,C,24,OKC,9,0,7.6,0.7,1.2,0.545,0.2,0.6,0.4,0.4,0.7,0.667,0.636,0.7,0.9,0.75,0.7,2.2,2.9,0.2,0,0.6,0.2,1.6,2.2,sarrol01
459,Marcus Sasser,PG,23,DET,40,0,15.5,2.7,5.8,0.468,1,2.6,0.392,1.7,3.2,0.527,0.554,0.7,0.8,0.906,0.2,1.4,1.6,2.6,0.6,0.2,0.9,1.3,7.1,sassema01
460,Admiral Schofield,PF,26,ORL,12,0,3.8,0.4,1.3,0.333,0.2,0.8,0.222,0.3,0.5,0.5,0.4,0,0.2,0,0.1,0.5,0.6,0.3,0,0,0.3,0.6,1,schofad01
461,Dennis Schröder,PG,30,TOR,45,31,31,5,11,0.451,1.6,4.4,0.357,3.4,6.7,0.512,0.521,2.4,2.8,0.856,0.4,2.2,2.7,6.3,0.8,0.1,1.5,2.1,13.9,schrode01
462,Dereon Seabron,SG,23,NOP,5,0,10.4,0.8,2.6,0.308,0.2,0.4,0.5,0.6,2.2,0.273,0.346,1,1.2,0.833,0.2,1.2,1.4,0.8,0.4,0.2,0,0.8,2.8,seabrde01
463,Alperen Şengün,C,21,HOU,45,45,32.5,8.6,15.9,0.541,0.6,2,0.284,8,13.9,0.577,0.559,4,5.5,0.722,2.7,6.4,9.2,5,1.2,0.7,2.6,3.2,21.7,sengual01
464,Brice Sensabaugh,SF,20,UTA,4,0,3,0.5,1.5,0.333,0.3,0.5,0.5,0.3,1,0.25,0.417,0,0,0,0.3,0.5,0.8,0.5,0,0,0,0.3,1.3,sensabr01
465,Collin Sexton,SG,25,UTA,47,24,24.3,6,12.3,0.489,1.5,4,0.382,4.5,8.3,0.54,0.55,4,4.6,0.879,0.9,1.8,2.7,4.3,0.7,0.2,1.8,2,17.5,sextoco01
466,Landry Shamet,SG,26,WAS,29,0,15.1,2.8,6.2,0.45,1.3,3.4,0.378,1.5,2.8,0.537,0.553,1,1.2,0.778,0.3,1,1.3,1.3,0.6,0.2,0.6,1.8,7.8,shamela01
467,Day'Ron Sharpe,C,22,BRK,37,1,16,3,5.2,0.575,0,0.2,0.143,3,5,0.591,0.578,1.5,2.4,0.614,2.8,4.2,7,1.4,0.5,0.9,1,2.3,7.5,sharpda01
468,Shaedon Sharpe,SG,20,POR,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9,sharpsh01
469,Ben Sheppard,SG,22,IND,24,0,9.9,1,2.8,0.368,0.5,1.8,0.279,0.5,1,0.52,0.456,0.4,0.5,0.75,0.3,1,1.3,0.9,0.5,0,0.1,1.3,3,sheppbe01
470,Pascal Siakam,PF,29,TOT,44,44,34.4,8.4,16,0.527,1.2,3.5,0.327,7.3,12.4,0.584,0.563,4.2,5.6,0.744,1.5,5,6.5,5,0.8,0.2,2.1,2.3,22.1,siakapa01
471,Pascal Siakam,PF,29,TOR,39,39,34.7,8.3,16,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,siakapa01
472,Pascal Siakam,PF,29,IND,5,5,32,9,15.8,0.57,1,2.2,0.455,8,13.6,0.588,0.601,2.8,4.6,0.609,2.2,5.8,8,5.6,0.6,0,1.8,3.2,21.8,siakapa01
473,Ben Simmons,PG,27,BRK,6,6,31.8,3.2,6,0.528,0,0,0,3.2,6,0.528,0.528,0.2,0.7,0.25,2.7,8.2,10.8,6.7,0.5,0.8,2.5,2.7,6.5,simmobe01
474,Anfernee Simons,SG,24,POR,23,23,33.5,8.1,18.5,0.439,3.5,8.8,0.396,4.7,9.7,0.478,0.533,4,4.4,0.901,0.5,3,3.4,5,0.5,0.1,2.6,2,23.7,simonan01
475,Jericho Sims,C,25,NYK,22,7,7.8,0.6,0.9,0.7,0,0,0,0.6,0.9,0.7,0.7,0.2,0.3,0.571,0.4,1.3,1.7,0.2,0.1,0.3,0.2,0.9,1.5,simsje01
476,Dmytro Skapintsev,C,25,NYK,2,0,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,skapidm01
477,Jalen Slawson,SF,24,SAC,5,0,3.8,0.4,0.6,0.667,0,0.2,0,0.4,0.4,1,0.667,0,0,0,0,0.8,0.8,0.4,0,0.2,0.4,0.6,0.8,slawsja01
478,Javonte Smart,PG,24,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,smartja01
479,Marcus Smart,PG,29,MEM,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,smartma01
480,Dennis Smith Jr.,PG,26,BRK,30,1,19.8,2.8,6.6,0.427,0.5,1.9,0.281,2.3,4.7,0.486,0.467,0.9,1.1,0.794,1,2.3,3.3,4,1.2,0.2,1.3,2.4,7.1,smithde03
481,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3,smithdr01
482,Ish Smith,PG,35,CHO,37,3,16.8,1.6,3.6,0.444,0.1,0.2,0.333,1.5,3.4,0.449,0.451,0.1,0.1,0.75,0.3,1.5,1.8,3.3,0.4,0.1,1.1,1.1,3.3,smithis01
483,Jabari Smith Jr.,PF,20,HOU,40,40,31.7,5,10.6,0.474,1.7,4.5,0.382,3.3,6.2,0.541,0.554,1.9,2.4,0.809,2,6.8,8.7,1.5,0.6,0.8,1.2,2.9,13.7,smithja05
484,Jalen Smith,C,23,IND,32,12,17.6,4,6.3,0.629,1.1,2.3,0.486,2.9,4.1,0.708,0.715,1.3,1.8,0.695,1.6,3.9,5.5,1,0.3,0.6,0.9,2.4,10.3,smithja04
